,0
realized_vol_20,0.08455285033182491
logret_roll_std_20,0.08447603579151863
logret_roll_std_10,0.08388076087372998
logret_roll_var_10,0.08057248837300612
logret_roll_var_20,0.08052453754074751
logret_roll_std_5,0.07588513792531693
logret_roll_var_60,0.07304911098576561
logret_roll_var_5,0.07260343335127839
logret_roll_std_60,0.07224704433235996
logret_roll_min_20,0.06825558193653514
logret_roll_min_10,0.0598234282105885
bb_bb_bandwidth,0.05454496987978885
logret_roll_min_60,0.05415345605036581
logret_roll_min_5,0.052092208880935686
logret_roll_max_20,0.050269030834691364
logret_roll_max_10,0.046757659980105615
logret_roll_max_60,0.04256503000411982
logret_roll_max_5,0.04149432225830996
logret_roll_mean_10,0.04116807790726007
roc_10,0.041030626213250265
filt_logret_wiener_5,0.03903113906138245
logret_1d,0.03808314347420261
excess_ret_1d,0.038054382987030344
diff_log_close_1,0.03804896568367422
ret_1d,0.03804003008759338
filt_logret_lattice_demo,0.03786264364971714
diff_log_close_2,0.03733981243463447
ema_ratio_20,0.03703343699875283
ret_5d,0.0368183527014283
cumret_5d,0.036791984008964995
logret_5d,0.03675719301962932
logret_roll_mean_5,0.036750718262291926
sma_ratio_20,0.03666187312858593
ret_21d,0.03573584954122477
cumret_21d,0.035654403819015634
filt_logret_lms_mu1e-4_taps5,0.03512812334005222
logret_roll_mean_20,0.03505897976137451
logret_21d,0.035000681610185325
filt_logret_sma_5,0.034499333963800005
filt_logret_savgol_11_2,0.03361929612676118
filt_logret_wma_5,0.033536936598950184
logret_roll_mean_60,0.03310869633057312
ret_lag_1,0.03207580991068504
logret_lag_1,0.0320663089846045
filt_logret_ema_12,0.030040837362198758
filt_logret_kalman_r0p1_q0p01,0.02838143763301204
filt_logret_spectral_0p1,0.02643859263159687
adx_minus_di,0.02577623601593526
macd_macd,0.025382725223623837
logret_lag_5,0.025242216003761975
ret_lag_5,0.02511841762473921
filt_resid_lms_mu1e-4_taps5,0.02379806109996352
rsi_14,0.02354494082933023
filt_resid_spectral_0p1,0.021469862852009136
filt_resid_wma_5,0.019745997568167972
fib_retr_60,0.019726826427216793
filt_resid_sma_5,0.017514339117353117
filt_resid_kalman_r0p1_q0p01,0.016611956462218025
atr_14,0.016471318477310426
cci_20,0.015878053457178964
volume,0.014843442803347706
filt_resid_ema_12,0.014798794852653785
obv,0.0147152769347203
macd_macd_signal,0.014647910800920094
bb_bb_percent_b,0.014481134011660401
volume_zscore_60,0.014262931871003914
stoch_stoch_d,0.014211553222480688
log_volume,0.014119327405032855
stoch_stoch_k,0.014084790683891235
volume_roll_std_5,0.013702567589823467
close_minmax_20,0.012779930754363455
filt_resid_savgol_11_2,0.012641348239968764
volume_roll_mean_20,0.011711842816287898
volume_roll_std_60,0.011698763583266825
adx_plus_di,0.011652684230462285
volume_roll_mean_5,0.011249350302327876
volume_minmax_20,0.010984771474442212
aroon_aroon_up,0.010906769654642101
ad_line,0.010176832028643723
filt_close_lms_mu1e-4_taps5,0.009991071952844877
aroon_aroon_down,0.009498986124251818
macd_macd_hist,0.009368682422236319
fib_fib_swing_low,0.009105899704139553
filt_close_wiener_5,0.009011821331015746
bb_bb_lower,0.008701928363055167
bos,0.008573422901630323
fib_fib_50_0,0.008288455036410625
fib_fib_61_8,0.008269645688672611
fib_fib_23_6,0.008000843869421459
volume_roll_mean_60,0.007887519331809756
obv_roc_10,0.007797777770492509
ichimoku_ichimoku_span_b,0.007769665417770355
filt_close_lattice_demo,0.007675485831805773
fib_fib_76_4,0.007609268757645893
volume_zscore_5,0.007508851320251253
volume_zscore_20,0.007347460282828067
filt_close_sma_5,0.006791654764903399
ichimoku_ichimoku_conv,0.006766867207509186
filt_close_spectral_0p1,0.006751826059640642
close,0.00661853602522644
fib_fib_38_2,0.006216866170686508
volume_roll_std_20,0.006051059961160732
filt_close_kalman_r0p1_q0p01,0.0060371811462367475
filt_resid_wiener_5,0.0056468751351852475
ichimoku_ichimoku_base,0.005566038066988632
logret_zscore_20,0.005492026815946183
fib_fib_swing_high,0.005425847331149036
filt_close_ema_12,0.005323691414786502
wrobv_20,0.005298360443312333
ichimoku_ichimoku_span_a,0.005003668037174336
filt_resid_lattice_demo,0.004869645907509046
filt_close_wma_5,0.004685262703675974
bb_bb_mid,0.004193074828721777
adx_adx,0.004117635351831517
bb_bb_upper,0.0037715804957709764
filt_close_savgol_11_2,0.0033604582224091573
rmacd_12_26_9,0.002414743041790679
adx_adx_raw,0.001533411265802087
choch,0.0010496463132754208
ichimoku_ichimoku_lagging,0.00048378300957097053
mss,0.0
