,0,1
Mean,9129.716073743873,
Interpolation,4.944546494406866,
Forward_Fill,9.966475169199557,
GAN,18211.4336756196,
MLE,9129.716073743873,
EM,14.126842288625635,
SMA,,6.971770509350138
EMA,,15.718791046908986
WMA,,14.230445755971518
AR,,inf
ARMA,,9.825959445525008
Kalman,,18.231297699501077
Wiener,,7.469086634053663
Spectral,,11.620157565299266
LMS,,1588.9987720636336
Lattice,,1025.3081705610684
Bayesian,,9.966496265376131
Markov,,416.51260061636873
HMM,,1821.3787598686156
SMURF,,8.317374329871596
SpatioTemporal,,2292.055256020159
Relationship,,9.966475169199557
LSTM,,5603.418674714702
