Asset,Potential_Splits
Asset_001,0
Asset_002,0
Asset_003,0
Asset_004,0
Asset_005,0
Asset_006,0
Asset_007,0
Asset_008,0
Asset_009,0
Asset_010,0
Asset_011,0
Asset_012,0
Asset_013,0
Asset_014,0
Asset_015,0
Asset_016,0
Asset_017,0
Asset_018,0
Asset_019,0
Asset_020,0
Asset_021,0
Asset_022,0
Asset_023,0
Asset_024,0
Asset_025,0
Asset_026,0
Asset_027,0
Asset_028,0
Asset_029,0
Asset_030,0
Asset_031,0
Asset_032,0
Asset_033,0
Asset_034,0
Asset_035,0
Asset_036,0
Asset_037,0
Asset_038,0
Asset_039,0
Asset_040,0
Asset_041,0
Asset_042,0
Asset_043,0
Asset_044,0
Asset_045,0
Asset_046,0
Asset_047,0
Asset_048,0
Asset_049,0
Asset_050,0
Asset_051,0
Asset_052,0
Asset_053,0
Asset_054,0
Asset_055,0
Asset_056,0
Asset_057,0
Asset_058,0
Asset_059,0
Asset_060,0
Asset_061,0
Asset_062,0
Asset_063,0
Asset_064,0
Asset_065,0
Asset_066,0
Asset_067,0
Asset_068,0
Asset_069,0
Asset_070,0
Asset_071,0
Asset_072,0
Asset_073,0
Asset_074,0
Asset_075,0
Asset_076,0
Asset_077,0
Asset_078,0
Asset_079,0
Asset_080,0
Asset_081,0
Asset_082,0
Asset_083,0
Asset_084,0
Asset_085,0
Asset_086,0
Asset_087,0
Asset_088,0
Asset_089,0
Asset_090,0
Asset_091,0
Asset_092,0
Asset_093,0
Asset_094,0
Asset_095,0
Asset_096,0
Asset_097,0
Asset_098,0
Asset_099,0
Asset_100,0
