,RMSE,LAG,RPR
SMA,2.640411049316022,0.0,0.3561208267087789
EMA,3.9646930583475166,0.0,0.44753577106482706
WMA,3.772326305606597,0.0,0.41414944356087907
SavGol,2.677441187053349,0.0,0.3155802861682706
AR,inf,inf,inf
ARMA,3.1346386467222995,1.0,0.945945945945194
Kalman,4.269812372868517,0.0,0.3855325914146379
Wiener,2.732962977073356,0.0,0.5151033386323409
Spectral,3.4088352212008233,0.0,0.25278219395846363
LMS,39.862247453745425,1.0,0.3298887122413912
Lattice,32.02043364105284,0.0,0.853736089029528
Bayesian,3.156975810071425,0.0,1.1669316375189451
Markov,20.408640342177836,0.0,0.0707472178059851
HMM,42.677614271051,0.0,0.015103338632738392
SMURF,2.8839858407890278,0.0,0.6510333863269865
SpatioTemporal,47.875413899204666,0.0,1.1669316375189451
Relationship,3.156972468869432,0.0,1.1669316375189451
LSTM,71.69260835929462,0.0,0.43084260731285307
